event_id,user_id,event_type,page,product_id,session_id,event_at
1,829,page_view,cart,66,5f5f90c2-c8c3-4fd4-a249-afdc1f8d08da,2024-01-11 16:35:00
2,940,page_view,cart,84,45dbee89-19a8-491b-917e-3b63fd062ebd,2024-09-01 08:55:00
3,697,search,search,91,bd74d54d-449f-43aa-aa63-ae3fefd36092,2024-12-30 15:23:00
4,543,remove_from_cart,profile,7,a155be6e-2d41-4690-a9a4-a6e6b3deb2bc,2024-03-27 09:48:00
5,605,add_to_cart,search,59,e61250a0-cf46-41ae-8e56-85ffbf399c86,2024-02-04 06:34:00
6,615,search,product,59,86d0c43e-6014-466d-bc4b-27d921c17d5d,2024-10-17 22:14:00
7,347,remove_from_cart,cart,88,7bc37358-5e97-490c-b7c2-43105b1d293c,2024-05-17 10:50:00
8,939,search,profile,100,635eede5-b3e6-48c4-bec7-1a1f0be3cc4e,2024-11-12 00:21:00
9,881,purchase,product,84,ec4b26e9-a111-484a-9b41-f915a101d384,2024-02-01 03:37:00
10,765,search,cart,17,7ed3dbae-cc5b-439b-912d-8947a4163c59,2024-07-21 02:49:00
11,284,remove_from_cart,profile,57,20274ffd-d7b2-4fa9-b9c5-6245255390df,2024-11-23 16:10:00
12,850,remove_from_cart,cart,94,0df6f802-ad5d-4446-b8b4-b41714357cac,2024-11-23 12:27:00
13,234,purchase,product,7,b51289a8-9736-4abf-bfdc-166c8e81cd8e,2024-07-02 03:08:00
14,530,page_view,checkout,26,8f932337-bf98-4adf-b1a6-311f8f1db51f,2024-08-12 19:37:00
15,446,add_to_cart,home,59,588bf87d-cf3c-4ddc-bd0e-9b876a8a31e1,2024-05-04 06:48:00
16,949,add_to_cart,search,46,b697461b-8e3c-4f37-b86b-d69483130f3d,2024-07-21 17:40:00
17,256,purchase,search,98,3c572971-f404-4933-876a-872caf1e18cf,2024-11-20 10:28:00
18,41,page_view,home,43,409f14f6-7a90-4bfb-994f-94353749b76f,2024-12-12 01:53:00
19,723,add_to_cart,cart,27,f08e6c15-9f7c-41d8-ae77-040f7bbf7f92,2024-03-02 13:09:00
20,625,add_to_cart,product,94,f2d83fc5-a88d-44c8-beb0-78c7bf45473f,2024-06-13 12:11:00
21,127,add_to_cart,cart,25,0cff05f7-b805-4b77-9bb8-5aac95f9d710,2024-05-02 11:28:00
22,91,add_to_cart,home,42,0d884a69-a6c3-46e2-91bb-854a8d91b1f2,2024-09-06 09:39:00
23,132,page_view,product,82,be0789ac-b937-4f8e-bcc0-64ac0c57a4b9,2024-09-30 13:00:00
24,390,search,product,68,7176f5a0-5881-4a02-98bc-e469a48d748f,2024-11-09 14:49:00
25,137,search,checkout,5,c8d52a47-5c52-44ec-ad0e-c564646400b9,2024-03-13 08:23:00
26,412,remove_from_cart,profile,42,87dba097-cbde-44db-9f24-fd14d0024783,2024-04-29 03:43:00
27,863,page_view,checkout,51,e497e02e-9a27-4c7e-90bf-182bf468a718,2024-11-23 18:44:00
28,57,purchase,home,2,81366e3c-f354-4ccf-b433-715536c29988,2024-12-10 18:24:00
29,42,search,search,56,360d5494-6b48-406a-970b-51a592ccec4d,2024-08-26 09:16:00
30,234,remove_from_cart,search,99,918a8ff4-bc12-4a28-8b75-cf9f6f663e75,2024-04-25 08:23:00
31,976,purchase,home,53,443e7b9e-70dc-4543-a23a-a055b439810d,2024-12-24 21:07:00
