order_id,user_id,status,total_amount,created_at
1,424,returned,7813.77,2024-10-13 07:36:00
2,534,pending,6884.63,2024-03-27 04:17:00
3,309,cancelled,4981.93,2024-02-02 05:27:00
4,283,returned,3067.55,2024-02-09 11:16:00
5,967,pending,7236.9,2024-09-10 19:39:00
6,201,returned,1159.03,2024-06-04 00:25:00
7,341,returned,8060.36,2024-06-17 14:21:00
8,441,pending,3074.31,2024-11-04 22:12:00
9,491,cancelled,1858.61,2024-07-22 10:18:00
10,753,returned,9680.85,2024-05-04 10:24:00
11,288,returned,3713.65,2024-10-15 06:37:00
12,559,pending,6848.96,2024-10-08 00:46:00
13,473,pending,4440.7,2024-05-29 22:04:00
14,839,returned,6762.48,2024-03-12 20:19:00
15,248,cancelled,6620.76,2024-08-04 12:04:00
16,460,returned,5864.22,2024-09-30 16:59:00
17,943,returned,5482.09,2024-07-03 22:57:00
18,832,completed,1182.76,2024-05-07 21:42:00
19,364,pending,6505.3,2024-01-23 18:41:00
20,694,returned,9671.43,2024-06-18 13:06:00
21,11,completed,2661.51,2024-09-18 23:33:00
22,572,pending,4513.21,2024-07-19 14:49:00
23,696,pending,3515.18,2024-01-13 15:06:00
24,303,returned,9213.42,2024-02-13 03:53:00
25,964,pending,3548.45,2024-06-24 14:50:00
26,212,returned,3548.17,2024-02-19 14:46:00
27,714,returned,3257.2,2024-06-02 01:51:00
28,728,completed,323.59,2024-06-24 20:06:00
29,694,pending,9306.23,2024-05-04 16:11:00
30,566,pending,3376.8,2024-08-06 14:14:00
31,817,returned,6334.63,2024-04-05 20:42:00
32,443,returned,389.0,2024-11-10 06:28:00
33,607,returned,3949.47,2024-12-26 06:13:00
34,286,completed,5815.74,2024-10-01 05:23:00
35,334,pending,4629.75,2024-05-14 21:55:00
36,502,cancelled,6010.01,2024-11-08 12:37:00
37,117,cancelled,3584.65,2024-08-22 19:11:00
38,834,cancelled,9194.96,2024-10-29 02:43:00
39,138,cancelled,1266.83,2024-06-05 03:11:00
40,383,pending,5157.17,2024-08-02 19:08:00
41,589,returned,4288.08,2024-09-06 20:34:00
42,711,pending,5593.63,2024-09-07 09:08:00
43,192,cancelled,8435.65,2024-11-13 01:55:00
44,368,completed,4897.63,2024-04-09 12:35:00
45,518,returned,4150.43,2024-09-08 13:45:00
46,861,returned,4938.13,2024-02-12 18:01:00
47,815,pending,2991.69,2024-05-20 07:34:00
48,296,pending,7829.33,2024-10-16 23:49:00
49,785,returned,5542.29,2024-02-27 18:07:00
50,275,cancelled,5466.23,2024-01-22 23:28:00
51,560,pending,9898.78,2024-02-22 23:53:00
52,670,pending,3047.32,2024-01-17 14:16:00
53,357,completed,4446.79,2024-03-01 07:13:00
54,831,cancelled,8624.38,2024-11-08 20:27:00
55,170,pending,7870.01,2024-04-15 01:36:00
56,360,cancelled,6008.89,2024-03-27 10:45:00
57,300,cancelled,5770.08,2024-09-20 21:52:00
58,98,pending,9631.44,2024-07-29 01:17:00
59,888,pending,7044.12,2024-03-08 07:09:00
60,729,cancelled,8301.97,2024-12-12 12:31:00
61,146,cancelled,6315.35,2024-07-11 14:04:00
62,649,completed,4088.22,2024-05-22 22:59:00
63,899,cancelled,4601.49,2024-09-06 10:37:00
64,3,completed,7336.23,2024-08-22 20:42:00
65,715,cancelled,8516.05,2024-09-30 12:13:00
66,992,returned,8265.99,2024-09-10 08:20:00
67,849,cancelled,3443.78,2024-10-22 04:36:00
68,873,returned,7904.21,2024-12-15 01:02:00
69,102,returned,261.19,2024-03-21 14:29:00
70,1,returned,2102.95,2024-12-18 04:56:00
71,666,cancelled,1673.88,2024-05-20 02:41:00
72,370,cancelled,915.96,2024-12-06 20:10:00
73,54,returned,6293.48,2024-12-24 07:27:00
74,672,completed,7066.61,2024-01-01 06:30:00
75,80,pending,5977.43,2024-09-22 21:28:00
76,10,completed,6986.41,2024-03-02 13:44:00
77,136,returned,801.2,2024-07-15 02:46:00
78,826,completed,1121.7,2024-07-07 09:08:00
79,392,pending,6451.6,2024-12-12 04:04:00
80,544,completed,6142.16,2024-03-25 14:22:00
81,740,pending,6317.99,2024-03-18 13:39:00
82,704,returned,8613.63,2024-02-14 03:08:00
83,771,completed,5936.78,2024-07-15 11:27:00
84,323,pending,2553.09,2024-11-26 02:15:00
85,567,cancelled,7811.8,2024-12-19 00:54:00
86,868,cancelled,2133.91,2024-11-06 16:12:00
87,766,returned,3025.87,2024-01-28 07:31:00
88,396,completed,2486.71,2024-11-22 19:04:00
89,541,completed,9870.14,2024-06-11 04:24:00
90,882,returned,3717.58,2024-12-15 05:48:00
91,483,completed,265.23,2024-02-04 00:16:00
92,221,completed,9233.53,2024-07-22 16:18:00
93,644,returned,4293.39,2024-07-24 02:40:00
94,550,pending,2846.93,2024-06-07 02:32:00
95,944,pending,9745.7,2024-03-20 17:20:00
96,401,completed,3170.68,2024-08-11 23:54:00
97,245,completed,2520.35,2024-08-10 03:29:00
98,627,completed,3161.97,2024-12-02 23:11:00
99,123,completed,7108.22,2024-12-25 00:10:00
100,509,cancelled,5277.75,2024-05-12 05:23:00
101,130,cancelled,7356.06,2024-03-01 00:21:00
102,827,returned,2792.61,2024-02-02 08:45:00
103,999,completed,5011.86,2024-09-18 11:03:00
104,512,pending,3740.11,2024-05-10 03:57:00
105,588,completed,2361.2,2024-09-17 00:02:00
106,880,completed,2521.06,2024-08-29 11:24:00
107,943,pending,1871.71,2024-01-19 17:51:00
108,936,returned,2322.7,2024-05-07 13:58:00
109,738,cancelled,2785.45,2024-02-09 18:23:00
110,123,completed,1875.51,2024-09-21 01:25:00
111,71,returned,8673.72,2024-06-08 10:05:00
112,567,returned,178.89,2024-04-12 09:36:00
113,804,cancelled,7421.8,2024-05-04 14:23:00
114,606,returned,9978.09,2024-04-10 23:57:00
115,560,pending,1590.61,2024-07-28 00:14:00
116,555,cancelled,6395.82,2024-12-21 00:21:00
117,2,returned,8505.16,2024-06-06 03:13:00
118,543,pending,4256.18,2024-01-31 04:45:00
119,287,completed,534.61,2024-04-28 16:26:00
120,718,cancelled,4638.73,2024-02-13 18:06:00
121,518,pending,6408.44,2024-07-20 02:37:00
122,582,completed,4406.33,2024-03-07 07:18:00
123,268,cancelled,9267.82,2024-07-20 22:53:00
124,754,cancelled,3248.77,2024-05-19 07:04:00
125,967,pending,1447.51,2024-10-26 03:09:00
126,109,pending,4550.71,2024-06-09 13:07:00
127,549,cancelled,9649.88,2024-04-16 14:19:00
128,475,cancelled,8539.57,2024-02-16 05:51:00
129,703,cancelled,8281.23,2024-12-22 19:02:00
130,221,cancelled,1568.41,2024-12-30 07:22:00
131,406,completed,6804.12,2024-05-13 05:01:00
132,975,returned,8560.55,2024-10-11 23:35:00
133,256,completed,4674.23,2024-03-12 03:00:00
134,64,pending,1394.08,2024-07-24 11:43:00
135,646,completed,5865.01,2024-05-12 02:01:00
136,67,pending,9034.71,2024-08-15 04:05:00
137,927,cancelled,1313.02,2024-08-24 01:10:00
138,947,returned,8234.69,2024-07-21 15:01:00
139,392,returned,1810.79,2024-04-19 05:17:00
140,287,returned,8845.9,2024-01-18 19:39:00
141,632,pending,6508.06,2024-09-12 13:56:00
142,564,returned,703.69,2024-05-23 12:08:00
143,430,pending,6462.26,2024-09-26 07:40:00
144,822,completed,9895.1,2024-12-31 11:30:00
145,558,returned,3505.94,2024-10-16 16:20:00
146,398,cancelled,1880.18,2024-06-12 19:14:00
147,31,cancelled,680.05,2024-08-29 16:22:00
148,786,pending,9742.4,2024-02-21 07:42:00
149,247,cancelled,5383.53,2024-01-29 07:36:00
150,867,returned,3612.57,2024-03-29 05:15:00
151,607,cancelled,8081.48,2024-12-23 11:58:00
152,606,completed,7064.18,2024-06-29 18:36:00
